Rp_low, Rp_high, Rp_mid, Per_low, Per_hi, Per_mid, Occ
(REarth), (REarth), (REarth), (Days), (Days)(Days), per_M_dwarf
   0.500,    0.571,    0.536,    0.500,    0.564,    0.531,  1.744E-05
   0.571,    0.643,    0.607,    0.500,    0.564,    0.531,  2.819E-05
   0.643,    0.714,    0.679,    0.500,    0.564,    0.531,  4.975E-05
   0.714,    0.786,    0.750,    0.500,    0.564,    0.531,  8.580E-05
   0.786,    0.857,    0.821,    0.500,    0.564,    0.531,  1.400E-04
   0.857,    0.929,    0.893,    0.500,    0.564,    0.531,  2.034E-04
   0.929,    1.000,    0.964,    0.500,    0.564,    0.531,  2.335E-04
   1.000,    1.071,    1.036,    0.500,    0.564,    0.531,  2.027E-04
   1.071,    1.143,    1.107,    0.500,    0.564,    0.531,  1.455E-04
   1.143,    1.214,    1.179,    0.500,    0.564,    0.531,  9.362E-05
   1.214,    1.286,    1.250,    0.500,    0.564,    0.531,  6.439E-05
   1.286,    1.357,    1.321,    0.500,    0.564,    0.531,  4.952E-05
   1.357,    1.429,    1.393,    0.500,    0.564,    0.531,  3.776E-05
   1.429,    1.500,    1.464,    0.500,    0.564,    0.531,  2.729E-05
   1.500,    1.571,    1.536,    0.500,    0.564,    0.531,  1.930E-05
   1.571,    1.643,    1.607,    0.500,    0.564,    0.531,  1.269E-05
   1.643,    1.714,    1.679,    0.500,    0.564,    0.531,  8.318E-06
   1.714,    1.786,    1.750,    0.500,    0.564,    0.531,  5.255E-06
   1.786,    1.857,    1.821,    0.500,    0.564,    0.531,  3.226E-06
   1.857,    1.929,    1.893,    0.500,    0.564,    0.531,  1.982E-06
   1.929,    2.000,    1.964,    0.500,    0.564,    0.531,  1.202E-06
   2.000,    2.071,    2.036,    0.500,    0.564,    0.531,  7.520E-07
   2.071,    2.143,    2.107,    0.500,    0.564,    0.531,  4.402E-07
   2.143,    2.214,    2.179,    0.500,    0.564,    0.531,  2.520E-07
   2.214,    2.286,    2.250,    0.500,    0.564,    0.531,  1.538E-07
   2.286,    2.357,    2.321,    0.500,    0.564,    0.531,  8.348E-08
   2.357,    2.429,    2.393,    0.500,    0.564,    0.531,  4.336E-08
   2.429,    2.500,    2.464,    0.500,    0.564,    0.531,  1.904E-08
   2.500,    2.571,    2.536,    0.500,    0.564,    0.531,  1.456E-08
   2.571,    2.643,    2.607,    0.500,    0.564,    0.531,  4.759E-09
   2.643,    2.714,    2.679,    0.500,    0.564,    0.531,  3.639E-09
   2.714,    2.786,    2.750,    0.500,    0.564,    0.531,  1.679E-09
   2.786,    2.857,    2.821,    0.500,    0.564,    0.531,  1.399E-09
   2.857,    2.929,    2.893,    0.500,    0.564,    0.531,  2.799E-10
   2.929,    3.000,    2.964,    0.500,    0.564,    0.531,  2.798E-10
   3.000,    3.071,    3.036,    0.500,    0.564,    0.531,  5.597E-10
   3.071,    3.143,    3.107,    0.500,    0.564,    0.531,  0.000E+00
   3.143,    3.214,    3.179,    0.500,    0.564,    0.531,  0.000E+00
   3.214,    3.286,    3.250,    0.500,    0.564,    0.531,  0.000E+00
   3.286,    3.357,    3.321,    0.500,    0.564,    0.531,  0.000E+00
   3.357,    3.429,    3.393,    0.500,    0.564,    0.531,  0.000E+00
   3.429,    3.500,    3.464,    0.500,    0.564,    0.531,  0.000E+00
   3.500,    3.571,    3.536,    0.500,    0.564,    0.531,  0.000E+00
   3.571,    3.643,    3.607,    0.500,    0.564,    0.531,  0.000E+00
   3.643,    3.714,    3.679,    0.500,    0.564,    0.531,  0.000E+00
   3.714,    3.786,    3.750,    0.500,    0.564,    0.531,  0.000E+00
   3.786,    3.857,    3.821,    0.500,    0.564,    0.531,  0.000E+00
   3.857,    3.929,    3.893,    0.500,    0.564,    0.531,  0.000E+00
   3.929,    4.000,    3.964,    0.500,    0.564,    0.531,  0.000E+00
   0.500,    0.571,    0.536,    0.564,    0.635,    0.598,  1.385E-05
   0.571,    0.643,    0.607,    0.564,    0.635,    0.598,  2.247E-05
   0.643,    0.714,    0.679,    0.564,    0.635,    0.598,  4.678E-05
   0.714,    0.786,    0.750,    0.564,    0.635,    0.598,  9.133E-05
   0.786,    0.857,    0.821,    0.564,    0.635,    0.598,  1.602E-04
   0.857,    0.929,    0.893,    0.564,    0.635,    0.598,  2.263E-04
   0.929,    1.000,    0.964,    0.564,    0.635,    0.598,  2.681E-04
   1.000,    1.071,    1.036,    0.564,    0.635,    0.598,  2.376E-04
