\\ K2 Targets - Campaign 1,,,,,,,,,
\\ EPIC ID = K2 Ecliptic Plane Input Catalog ID,,,,,,,,,
\\ RA, Dec = Coordinates (J2000),,,,,,,,
\\ Mag_Kep = Kepler magnitude,,,,,,,,,
\\ Mag_Ks = Ks magnitude,,,,,,,,,
\\ Num_plan = Number of confirmed planets,,,,,,,,,
\\ Poss_pc = Possible planetary candidate,,,,,,,,,
\\ Num_spec = Number of spectroscopy observations,,,,,,,,,
\\ Num_img = Number of imaging observations,,,,,,,,,
\\ Last Mod = Last modified date,,,,,,,,,
EPIC ID,RA,Dec,Mag_Kep,Mag_Ks,Num_plan,Poss_pc,Num_spec,Num_img,Last Mod
201121245,47:18.7,-06:00:13.34,11.112,8.981,0,,0,0,12/19/16 12:00
201122454,46:50.5,-05:58:24.86,13.848,11.013,0,,0,0,12/19/16 12:00
201122521,47:20.2,-05:58:17.93,14.761,12.872,0,,0,0,12/19/16 12:00
201123619,47:11.8,-05:56:38.03,15.206,12.06,0,,0,0,12/19/16 12:00
201124136,45:17.9,-05:55:55.03,12.241,9.452,0,,0,0,12/19/16 12:00
201124275,44:53.8,-05:55:42.07,14.256,12.796,0,,0,0,12/19/16 12:00
201124583,46:03.9,-05:55:14.77,15.688,12.174,0,,0,0,12/19/16 12:00
201124666,45:28.5,-05:55:07.46,16.849,14.358,0,,0,0,12/19/16 12:00
201124933,47:11.7,-05:54:45.98,16.671,13.959,0,,0,0,12/19/16 12:00
201125725,44:39.7,-05:53:32.15,15.429,14.06,0,,0,0,12/19/16 12:00
201126062,46:57.5,-05:53:00.45,15.164,12.006,0,,0,0,12/19/16 12:00
201126351,47:10.0,-05:52:35.05,14.35,11.784,0,,0,0,12/19/16 12:00
201126368,45:05.1,-05:52:34.15,14.701,11.802,0,,0,0,12/19/16 12:00
201126489,45:35.7,-05:52:24.34,12.196,10.062,0,,0,0,12/19/16 12:00
201126503,43:45.2,-05:52:22.81,17.275,14.23,0,Y,0,0,12/19/16 12:00
201126512,45:47.8,-05:52:22.45,15.714,12.717,0,,0,0,12/19/16 12:00
201126617,44:09.3,-05:52:14.39,15.207,12.35,0,,0,0,12/19/16 12:00
201126643,45:03.4,-05:52:12.49,16.724,13.763,0,,0,0,12/19/16 12:00
201127237,44:29.7,-05:51:17.97,17.841,15.102,0,,0,0,12/19/16 12:00
201127270,43:59.9,-05:51:15.02,10.25,8.078,0,,0,0,12/19/16 12:00
201127502,45:02.7,-05:50:54.88,11.004,9.742,0,,0,0,12/19/16 12:00
201127583,43:36.4,-05:50:46.4,15.214,12.227,0,,0,0,12/19/16 12:00
201127842,44:56.5,-05:50:20.64,15.384,12.722,0,,0,0,12/19/16 12:00
201127988,46:18.1,-05:50:07.03,17.604,14.126,0,,0,0,12/19/16 12:00
201128834,46:23.5,-05:48:53.2,15.704,12.781,0,,0,0,12/19/16 12:00
201128959,44:35.2,-05:48:43.42,17.551,13.869,0,,0,0,12/19/16 12:00
201129066,46:17.8,-05:48:34.19,15.969,12.502,0,,0,0,12/19/16 12:00
201129239,42:24.6,-05:48:19.99,17.756,14.715,0,,0,0,12/19/16 12:00
201129520,44:52.6,-05:47:58.39,12.002,10.815,0,,0,0,12/19/16 12:00
201129544,44:59.5,-05:47:55.65,13.837,10.672,0,,0,0,12/19/16 12:00
201129760,47:16.0,-05:47:37.28,14.914,12.891,0,,0,0,12/19/16 12:00
201129780,42:14.1,-05:47:35.05,16.517,13.442,0,,0,0,12/19/16 12:00
