\\ K2 Targets - Campaign 2
\\ EPIC ID = K2 Ecliptic Plane Input Catalog ID
\\ RA, Dec = Coordinates (J2000)
\\ Mag_Kep = Kepler magnitude
\\ Mag_Ks = Ks magnitude
\\ Num_plan = Number of confirmed planets
\\ Poss_pc = Possible planetary candidate
\\ Num_spec = Number of spectroscopy observations
\\ Num_img = Number of imaging observations
\\ Last Mod = Last modified date

EPIC ID,RA,Dec,Mag_Kep,Mag_Ks,Num_plan,Poss_pc,Num_spec,Num_img,Last Mod
203826436,16:13:48.24,-24:47:13.42,12.241,10.142,3,Y,1,1,2016-12-19 12:00:00
205071984,16:49:42.26,-19:32:34.16,12.005,9.821,3,Y,1,1,2016-12-19 12:00:00
203771098,16:10:17.69,-24:59:25.2,11.648,9.180,2,Y,1,1,2016-12-19 12:00:00
204221263,16:00:08.06,-23:11:21.43,11.210,9.470,2,Y,0,1,2016-12-19 12:00:00
202900527,16:27:14.68,-27:57:25.37,12.303,10.030,1,Y,1,1,2016-12-19 12:00:00
203776696,16:26:26.74,-24:58:11.81,15.037,11.853,1,Y,1,1,2017-01-02 20:41:14
204129699,16:21:45.78,-23:32:52.31,10.607,8.866,1,Y,0,1,2016-12-19 12:00:00
204890128,16:16:34.04,-20:24:01.92,11.888,9.664,1,Y,3,1,2017-01-02 20:41:14
205117205,16:10:14.74,-19:19:09.38,14.357,10.026,1,Y,0,2,2016-12-19 12:00:00
202483641,16:09:59.7,-29:31:37.05,15.294,12.114,0,,0,0,2016-12-19 12:00:00
202488467,16:11:37.75,-29:30:26.15,10.884,9.388,0,,0,0,2016-12-19 12:00:00
202491250,16:13:04,-29:29:46.97,12.144,10.866,0,,0,0,2016-12-19 12:00:00
202496545,16:14:18,-29:28:29.93,12.113,10.904,0,,0,0,2016-12-19 12:00:00
202499459,16:08:14.61,-29:27:48.19,11.975,10.362,0,,0,0,2016-12-19 12:00:00
202501727,16:12:15.25,-29:27:15.02,11.186,10.115,0,,0,0,2016-12-19 12:00:00
202502512,16:14:10.85,-29:27:03.4,12.480,11.134,0,,0,0,2016-12-19 12:00:00
202506039,16:16:52.73,-29:26:12.53,12.188,10.427,0,,0,0,2016-12-19 12:00:00
202506474,16:08:38.32,-29:26:06.03,12.497,11.230,0,,0,0,2016-12-19 12:00:00
202507039,16:12:05.28,-29:25:58.12,11.183,9.961,0,,0,0,2016-12-19 12:00:00
202512864,16:16:04.35,-29:24:35.07,12.874,9.780,0,,0,0,2016-12-19 12:00:00
202514927,16:13:43.33,-29:24:06.34,12.358,10.763,0,,0,0,2016-12-19 12:00:00
202515599,16:10:15.42,-29:23:56.25,15.263,12.083,0,,0,0,2016-12-19 12:00:00
202517891,16:17:40.31,-29:23:23.19,11.992,10.162,0,,0,0,2016-12-19 12:00:00
202518093,16:14:01.45,-29:23:20.2,15.020,12.110,0,,0,0,2016-12-19 12:00:00
202518676,16:14:45.71,-29:23:11.8,10.495,9.365,0,,0,0,2016-12-19 12:00:00
202520669,16:17:06.83,-29:22:42.15,14.756,11.353,0,,0,0,2016-12-19 12:00:00
202521463,16:10:45.1,-29:22:30.8,11.989,11.287,0,,0,0,2016-12-19 12:00:00
202521690,16:13:18.45,-29:22:27.64,12.617,9.216,0,,0,0,2016-12-19 12:00:00
202521931,16:21:37.12,-29:22:23.99,9.764,8.451,0,,0,0,2016-12-19 12:00:00
202522205,16:13:17.38,-29:22:19.91,12.325,8.909,0,,0,0,2016-12-19 12:00:00
202522885,16:17:22.71,-29:22:10.49,11.664,10.159,0,,0,0,2016-12-19 12:00:00
202523595,16:18:11.7,-29:22:00.57,12.191,10.770,0,,0,0,2016-12-19 12:00:00
202524330,16:15:52.58,-29:21:50.44,12.501,10.576,0,,0,0,2016-12-19 12:00:00
202526459,16:08:50.39,-29:21:19.81,11.159,10.066,0,,0,0,2016-12-19 12:00:00
202526854,16:14:45.94,-29:21:14.37,12.388,10.940,0,,0,0,2016-12-19 12:00:00
202527051,16:21:37.56,-29:21:11.55,9.929,8.877,0,,0,0,2016-12-19 12:00:00
202527844,16:09:13.96,-29:21:00.2,12.473,10.813,0,,0,0,2016-12-19 12:00:00
202528405,16:12:09.2,-29:20:52.14,12.160,10.540,0,,0,0,2016-12-19 12:00:00
202532858,16:24:53.31,-29:19:49.24,11.982,9.931,0,,0,0,2016-12-19 12:00:00
202532942,16:11:34.01,-29:19:47.93,11.767,10.413,0,,0,0,2016-12-19 12:00:00
202533382,16:24:34.92,-29:19:41.04,12.400,10.709,0,,0,0,2016-12-19 12:00:00
202533649,16:13:06.96,-29:19:37.21,11.379,9.751,0,,0,0,2016-12-19 12:00:00
202533810,16:15:00.6,-29:19:34.9,13.231,9.441,0,,0,0,2016-12-19 12:00:00
202534070,16:24:34.39,-29:19:31.08,11.107,9.914,0,,0,0,2016-12-19 12:00:00
202536655,16:12:13.89,-29:18:54.48,10.786,9.494,0,,0,0,2016-12-19 12:00:00
202538585,16:14:13.89,-29:18:26.58,12.496,10.921,0,,0,0,2016-12-19 12:00:00
202539362,16:09:13.64,-29:18:15.63,9.157,8.066,0,,0,0,2016-12-19 12:00:00
202539462,16:08:32.86,-29:18:14.38,11.583,10.279,0,,0,0,2016-12-19 12:00:00
202540096,16:18:53.23,-29:18:05.24,12.444,10.284,0,,0,0,2016-12-19 12:00:00
202540162,16:10:20.58,-29:18:04.55,11.876,,0,,0,0,2016-12-19 12:00:00
202544292,16:26:50.78,-29:17:06.02,10.971,,0,,0,0,2016-12-19 12:00:00
202544694,16:10:23.37,-29:17:00.13,7.861,2.240,0,,0,0,2016-12-19 12:00:00
202545478,16:12:57.45,-29:16:48.76,12.227,10.859,0,,0,0,2016-12-19 12:00:00
202546150,16:12:44.65,-29:16:38.77,10.800,9.002,0,,0,0,2016-12-19 12:00:00
202548111,16:23:46.55,-29:16:10.14,12.582,11.304,0,,0,0,2016-12-19 12:00:00
202548139,16:14:41,-29:16:09.77,11.225,9.857,0,,0,0,2016-12-19 12:00:00
202548310,16:15:15.2,-29:16:07.56,15.078,11.684,0,,0,0,2016-12-19 12:00:00
202548324,16:14:15.32,-29:16:07.31,10.254,8.972,0,,0,0,2016-12-19 12:00:00
202548530,16:23:09.44,-29:16:04.19,12.279,10.743,0,,0,0,2016-12-19 12:00:00
202551457,16:12:14.92,-29:15:21.97,12.312,11.261,0,,0,0,2016-12-19 12:00:00
202551541,16:29:20.32,-29:15:20.69,15.128,11.398,0,,0,0,2016-12-19 12:00:00
202551851,16:12:14.52,-29:15:16.39,12.312,10.738,0,,0,0,2016-12-19 12:00:00
202552065,16:11:16.92,-29:15:13.48,10.217,8.645,0,,0,0,2016-12-19 12:00:00
202552141,16:19:16.09,-29:15:12.68,13.742,10.437,0,,0,0,2016-12-19 12:00:00
202552587,16:22:08.59,-29:15:06.44,13.236,9.650,0,,0,0,2016-12-19 12:00:00
202552820,16:24:02.6,-29:15:03.05,11.491,9.916,0,,0,0,2016-12-19 12:00:00
202552884,16:29:12.93,-29:15:02.03,14.888,11.370,0,,0,0,2016-12-19 12:00:00
