Spotty,EB,Flare,Irregular
201136343,20114640,201139187,201171432
201150492,201182911,201145757,201175580
201150679,201338306,201185922,201244712
201156345,201368515,201210901,201313611
201165391,201530296,201343542,201320519
201168081,201638314,201375212,201395722
201169745,201720151,201482319,201506564
201170586,,201539581,201555742
201178308,,,201664425
201179061,,,201675826
201182504,,,201677521
201183525,,,201690057
201191257,,,201751644
201204677,,,
201206795,,,
201214496,,,
201214930,,,
201223298,,,
201223827,,,
201231394,,,
201232485,,,
201234609,,,
201239544,,,
201239746,,,
201241667,,,
201246963,,,
201248429,,,
201249315,,,
201259803,,,
201264058,,,
201269591,,,
201270635,,,
201273850,,,
201283613,,,
201295538,,,
201303412,,,
201304556,,,
201306839,,,
201318154,,,
201318479,,,
201319823,,,
201322441,,,
201331157,,,
201334731,,,
201337101,,,
201342425,,,
201342647,,,
201354708,,,
201363197,,,
201366652,,,
201378378,,,
201382484,,,
201385665,,,
201386095,,,
201390233,,,
201400022,,,
201400814,,,
201407872,,,
201415104,,,
201416014,,,
201416507,,,
201418173,,,
201426541,,,
201429818,,,
201436683,,,
201438512,,,
201442004,,,
201442727,,,
201445309,,,
201451390,,,
201456238,,,
201459437,,,
201460114,,,
201461505,,,
201473496,,,
201476479,,,
201482080,,,
201490606,,,
201498996,,,
201503326,,,
201504440,,,
201504611,,,
201505500,,,
201506823,,,
201508189,,,
201509361,,,
201511060,,,
201511151,,,
201521188,,,
201526729,,,
201531643,,,
201535528,,,
201536382,,,
201538330,,,
201544466,,,
201544820,,,
201548097,,,
201549464,,,
201558219,,,
201559194,,,
201559218,,,
201560437,,,
201561146,,,
201563518,,,
201567839,,,
201571251,,,
201588373,,,
201589348,,,
201596733,,,
201598732,,,
201599049,,,
201599937,,,
201601745,,,
201602470,,,
201604185,,,
201610754,,,
201610866,,,
201613885,,,
201617526,,,
201617538,,,
201620624,,,
201621054,,,
201625637,,,
201628522,,,
201636067,,,
201638314,,,
201639545,,,
201641211,,,
201646686,,,
201650412,,,
201652029,,,
201652990,,,
201655870,,,
201658986,,,
201659277,,,
201664337,,,
201665284,,,
201667670,,,
201669155,,,
201682317,,,
201687988,,,
201688096,,,
201689099,,,
201692631,,,
201693750,,,
201695508,,,
201696652,,,
201697553,,,
201699624,,,
201705928,,,
201710411,,,
201710690,,,
201718084,,,
201720151,,,
201721649,,,
201722912,,,
201723079,,,
201726599,,,
201727209,,,
201738839,,,
201738857,,,
201748188,,,
201748747,,,
201749946,,,
201751030,,,
201751856,,,
201752499,,,
201753086,,,
