#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-01-03T19:18:19 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ586bf8d15886	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/432/1203&tab:{J/MNRAS/432/1203/table2}&key:source=J/MNRAS/432/1203/table2&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/432/1203/table2
#-order=I
#-out=KIC
#-out=Teff
#-out=logg
#-out=f_logg
#-out=Mass
#-out=Per
#-out=e_Per
#-out=Amp
#-out=Flag
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_74321203
#Name: J/MNRAS/432/1203
#Title: Rotation periods of M-dwarf stars (McQuillan+, 2013)
#Table	J_MNRAS_432_1203_table2:
#Name: J/MNRAS/432/1203/table2
#Title: M-dwarfs with detected rotation periods
#Column	KIC	(I8)	KIC identification number (V/133)	[ucd=meta.id]
#Column	Teff	(I4)	Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	? Surface gravity	[ucd=phys.gravity]
#Column	f_logg	(A1)	[i] i for -{infinity}	[ucd=meta.code]
#Column	Mass	(F7.4)	Star mass	[ucd=phys.mass]
#Column	Per	(F6.3)	Rotation period	[ucd=time.period]
#Column	e_Per	(F6.3)	rms uncertainty on Per	[ucd=stat.error]
#Column	Amp	(F6.2)	[0.7/160] Amplitude of variability	[ucd=src.var]
#Column	Flag	(A2)	Flag on binarity or periodicity (1)	[ucd=meta.code.error]
#Column	_RA	(F10.6)	Positions from KIC (Cat. V/133) catalog (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F10.6)	Positions from KIC (Cat. V/133) catalog (declination part)	[ucd=pos.eq.dec;meta.main]
#KIC	Teff	logg	f_logg	Mass	Per	e_Per	Amp	Flag	_RA	_DE
# 	K	[cm/s2]	 	Msun	d	d	mmag	 	deg	deg
#————	----	-----	-	-------	------	------	------	--	----------	----------
 1162635	3899	 4.62	 	 0.5037	15.509	 0.064	 10.70	  	291.334840	+36.806438
 1430893	3956	 4.41	 	 0.5260	17.144	 0.046	 10.40	  	291.086670	+37.072559
 1572802	3990	 4.48	 	 0.5394	 0.368	 0.000	 74.80	PB	291.295810	+37.155861
 1721911	3833	 4.58	 	 0.4781	28.403	 0.394	  3.90	  	291.620670	+37.227280
 1866535	3878	 4.50	 	 0.4955	25.052	 0.136	  4.00	  	291.027190	+37.352089
 1866986	3832	 4.52	 	 0.4777	35.585	 0.516	  6.50	  	291.147920	+37.316669
 1870952	3947	 4.69	 	 0.5225	24.428	 0.081	  7.10	  	292.027560	+37.379082
 1873543	3702	 4.52	 	 0.4282	11.351	 0.051	 14.00	  	292.584560	+37.395470
 1996399	3802	 4.49	 	 0.4661	27.034	 0.106	  6.30	  	286.408330	+37.426762
 2142372	3801	 4.72	 	 0.4658	18.646	 0.092	  7.00	  	286.574220	+37.517071
 2157356	3813	 4.51	 	 0.4704	12.924	 0.101	 11.70	  	290.800320	+37.517891
 2162907	3924	 4.61	 	 0.5135	52.974	12.451	  9.10	  	292.041350	+37.596722
 2164791	   0	     	i	 0.0000	 3.351	 0.000	  9.90	PB	292.427370	+37.556019
 2167693	3888	 4.67	 	 0.4994	17.328	 0.080	  5.50	  	293.053990	+37.558891
 2285598	3951	 4.49	 	 0.5241	37.506	 0.140	  3.30	  	286.838500	+37.696690
 2300039	3644	 4.29	 	 0.4066	 1.716	 0.000	 12.60	PB	290.790130	+37.661030
 2301872	3968	 4.42	 	 0.5307	22.988	 0.183	  1.70	  	291.212490	+37.617050
 2302851	3984	 4.47	 	 0.5371	12.178	 0.025	 11.60	  	291.424410	+37.630299
 2302997	3939	 4.47	 	 0.5193	25.419	 0.121	 11.30	  	291.454900	+37.677120
 2423549	3862	 4.47	 	 0.4893	40.091	10.625	  7.60	  	286.372890	+37.711288
 2441562	3806	 4.46	 	 0.4677	10.084	 0.005	 20.70	  	291.035460	+37.788029
 2441891	3850	 4.56	 	 0.4846	15.775	 0.107	  6.80	  	291.114320	+37.754860
 2443935	3940	 4.67	 	 0.5197	34.185	 0.446	  9.10	  	291.578520	+37.749950
 2554730	3602	 4.21	 	 0.3911	46.017	16.905	 16.10	  	285.984250	+37.878860
 2556650	3853	 4.73	 	 0.4858	28.730	 0.333	  7.30	PL	286.594270	+37.891258
 2557350	3815	 4.71	 	 0.4711	18.799	 0.074	  8.50	  	286.819150	+37.859009
 2570277	3836	 4.65	 	 0.4792	47.386	22.945	  4.80	HM	290.260100	+37.800690
 2570846	3865	 4.61	 	 0.4904	10.922	 0.010	 35.80	  	290.343380	+37.841518
 2574427	3972	 4.57	 	 0.5323	13.425	 0.081	  5.70	  	291.160000	+37.872631
 2577743	3511	 4.06	 	 0.3583	31.754	 0.254	 15.30	  	291.859590	+37.896381
 2581298	3868	 4.59	 	 0.4916	17.266	 0.132	  8.50	  	292.623320	+37.879341
 2692704	3624	 4.10	 	 0.3992	14.804	 0.136	 27.20	  	285.775420	+37.922798
 2692708	3531	 4.05	 	 0.3654	29.997	 0.136	 20.10	  	285.776670	+37.923931
 2692772	3904	 4.45	 	 0.5056	27.933	 0.136	  5.90	  	285.795290	+37.942371
 2695622	3870	 4.39	 	 0.4924	15.959	 0.032	 12.40	  	286.696930	+37.995152
 2714000	3877	 4.57	 	 0.4951	27.156	 0.045	  8.00	  	291.644040	+37.952671
 2718935	3898	 4.48	 	 0.5033	34.390	 0.341	  5.00	  	292.728120	+37.990150
 2832398	3906	 4.38	 	 0.5064	14.978	 0.040	 10.80	  	285.946380	+38.073170
 2832720	3703	 4.45	 	 0.4286	22.314	 0.359	 13.20	  	286.046910	+38.088390
 2834564	3648	 4.36	 	 0.4080	21.598	 0.348	 15.50	  	286.623140	+38.080341
 2834612	3870	 4.31	 	 0.4924	13.282	 0.126	 17.80	  	286.640110	+38.045090
 2835393	3892	 4.59	 	 0.5009	14.957	 0.010	 14.40	  	286.895260	+38.088699
 2836098	3996	 4.40	 	 0.5418	28.444	 0.000	  7.20	  	287.124600	+38.025669
 2847357	3834	 4.42	 	 0.4784	32.408	 0.079	  7.90	HM	290.297390	+38.033741
 2859114	3690	 4.28	 	 0.4237	37.496	17.171	  5.50	  	292.844790	+38.075779
 2969839	3818	 4.73	 	 0.4723	17.992	 0.126	 10.10	HM	285.794490	+38.193081
 2971272	3844	 4.67	 	 0.4823	17.011	 0.017	  7.30	  	286.263730	+38.175838
 2973500	3679	 4.36	 	 0.4196	19.678	 0.025	  9.20	  	287.021580	+38.137039
 2986833	3847	 4.53	 	 0.4835	30.947	 0.245	 10.40	  	290.782140	+38.187790
 2988458	3729	 4.51	 	 0.4383	17.348	 0.086	  9.50	  	291.171300	+38.191620
 2992668	3726	 4.52	 	 0.4372	15.223	 0.131	 19.60	  	292.088040	+38.118629
 2998208	3715	 4.46	 	 0.4331	22.579	 0.183	 10.60	  	293.284300	+38.171638
 3099533	3672	 4.40	 	 0.4170	38.088	17.150	  7.90	HM	286.483670	+38.254360
 3099900	3811	 4.41	 	 0.4696	18.125	 0.023	 12.70	  	286.613590	+38.260262
 3102763	3662	 4.58	 	 0.4132	14.365	 0.040	 18.40	  	287.615420	+38.226070
 3103752	3535	 4.16	 	 0.3668	 4.720	 0.015	 27.80	PB	287.922760	+38.222050
 3109825	3832	 4.38	 	 0.4777	13.558	 0.056	 33.90	  	289.745760	+38.206570
 3109945	3726	 4.36	 	 0.4372	45.628	13.114	  7.10	  	289.780850	+38.228142
 3115879	3965	 4.63	 	 0.5296	34.196	 0.359	  3.40	  	291.291930	+38.228039
 3116544	3858	 4.26	 	 0.4877	42.768	20.029	  2.60	  	291.454930	+38.296162
 3120913	3908	 4.57	 	 0.5072	34.247	 0.105	 10.90	  	292.425960	+38.273090
 3218308	3920	 4.28	 	 0.5119	39.253	11.614	  3.00	  	286.260310	+38.374840
 3218997	3677	 4.57	 	 0.4188	38.660	15.565	 11.10	  	286.527190	+38.308300
 3231403	3750	 4.39	 	 0.4463	34.359	 0.297	  6.60	  	290.431730	+38.303329
 3232393	3963	 4.53	 	 0.5288	14.477	 0.020	  3.50	  	290.730290	+38.354561
 3233853	3923	 4.46	 	 0.5131	29.465	 0.569	  5.20	  	291.135350	+38.377441
 3235567	3700	 4.65	 	 0.4274	28.730	 0.121	  4.30	  	291.581020	+38.345451
 3244968	3998	 4.41	 	 0.5426	18.584	 0.029	  7.20	  	293.893590	+38.355019
 3246721	3901	 4.43	 	 0.5045	30.385	 0.350	  4.30	  	294.306610	+38.344830
 3323808	3536	 4.14	 	 0.3672	31.928	 0.262	  4.60	HM	285.543950	+38.458912
 3327092	3713	 4.52	 	 0.4323	35.800	 1.268	  5.80	  	286.829620	+38.468250
 3328254	3676	 4.62	 	 0.4184	32.132	 0.429	  4.91	  	287.276180	+38.491261
 3344220	3907	 4.48	 	 0.5068	15.325	 0.076	  2.80	  	291.952850	+38.406429
 3344747	3876	 4.45	 	 0.4947	28.587	 0.061	  9.40	  	292.075500	+38.472900
